Tweet,sentiment_class
How did one of the worst MLS refs end up being a ref at the World Cup,negative
Rate di ref fi dat still nuh mash up di World Cup,neutral
Who let this MLS ref join the world cup?,positive
The ref in this Ghana/Portugal World Cup game definitely got money on Ghana 😂😂,positive
This ref shouldn’t be anywhere near a World Cup,neutral
"Is it just me or was it a little bit suspect 
that the ref at the  Saudi Argentina world cup,
football game, disallowed 3 goals?
Blatant bribery and corruption?",negative
"I no see wetin dey wrong with da Ronaldo goal sha. Looks like 50-50 to me and Ororo chance dat defender clean. Ghana man wey no chop fufu beleful come World Cup. E get luck say ref cancel the goal say na foul.
#PORGHA #FIFAWorldCup",positive
The refs have been pretty good so far in the World Cup but this ref in the Portugal and Ghana game is dreadful #FIFAWorldCup,negative
"We are witnessing a world cup scandal of the size of South Korea vs Italy in 2002, joke of a U.S burgerdog ref",negative
This MLS mfing ref should be cooking his turkey rn not reffing a World Cup match,neutral
GIVE YELLOW CARD FROM RANGE 5 METERS REF THATS NASTY REALLy!!!! GHANA VS PORTUGAL WORLD CUP 2022,negative
Worst ref in the World Cup by FAR,negative
"this ref is fucking woeful btw,this is the world cup and these are some of the worst refs i’ve ever watched officiate",negative
Why are shit refs being rewarded with whistling a  World Cup games?  This is the third one. Worst being the AFCON ref #PORGHA,negative
The refs at this World Cup have got to be at an all time worse right? I mean when a ref is calling offside from a back pass I think that’s all you need to know,negative
These ref in the World Cup are terrible lol,negative
I’m sorry but how is Ismail Elfath a World Cup ref?!,negative
No Spanish ref at the world cup?,negative
"Personally, I love the long added times at this World Cup.

1. More football to watch 

2. Hopefully it curbs time wasting since they know the ref will just add time",positive
REFFFFFF WHAT THE FUCK CB THIS WORLD CUP REF ALL CB DOG SIA,negative
"Regardless of the choices made by the Ref team, I'm still super proud of how the Canadian team played.

They looked like they truly belonged at the World Cup 🇨🇦🇨🇦🇨🇦

#CanadaSoccer #FIFAWorldCup #Canada",positive
Just saw Canada highlights. Valencia is denied a hat trick from his foot being offside in Ecuador game. Belgium player whole body looks offside and that's not called?! This world cup is already a ref/VAR/rules nightmare.,negative
I hope there is a real ref for the next Canada game. What's with this bs in the world cup smh,positive
I will be very surprised if that ref and AR get another game at the World Cup.,positive
This ref couldn’t even do afcon. Why did fifa think he could do a World Cup,neutral
"Janny Sikazwe and his linesman can't even tell time. 

They don't even know the offside rule. 

How are they even allowed to ref a WORLD CUP GAME. But here we are. 

WHAT A JOKE!

#FIFAWorldCup",positive
"Ok.  This ref needs to not ref anymore in this world cup.  Phantom yellow card and missed pk.
Same guy that ended that afcon match early lol.",positive
"#belcan Hope the ref doesn't get paid for that game, absolutely ridiculous at the amateur level much less the world cup",positive
Is this the same ref that blew up for full time about 10 minutes early in the African nations hahaha how has he managed to get a game at the world cup then!?,positive
This ref having fun with cards it’s his first World Cup😂😂,positive
"WAIT I JUST REALIZED THIS THE SAME REF FROM AFCON THAT STOPPED THE GAME EARLY 😭😭 

HOWD HE GET TO THE WORLD CUP IM SCREAMING",negative
This ref should not get another game at this World Cup.,neutral
"hows that not a yellow for dendocker? this is genuinely the worst ref in world cup hjiostory, this is blatant robbery",negative
"Why must the mumu ref come disgrace Africa for this world cup? The first Witsel tackle na stonewall penalty. Now is trying to make up by making ""softcall"" for free kick and yellow against Belgium to make up!",negative
Only bad ref in the World Cup so far has been African 🤔,negative
"This is by far the single worst refereeing performance of the tournament, that ref should be nowhere fucking near the World Cup.",negative
How has this same ref made it to the world cup? Canada tho 😪,neutral
Ay this might be the worst ref of all time to ref in the world cup,negative
Ok the ref is paid end this world cup now,positive
imagine being a ref for the world cup bruh 😭,neutral
"OMG the ref of this game is called Janny Sikazwe, and he is the ref who blew the whistle for a game minutes early, that then had to be replayed😂😂

How is he reffing at a World Cup😭😭",neutral
But on a real should this ref really be reffing in the world cup?,neutral
"wait, THIS IS THE SAME REF THAT ENDED THAT TUNISIA GAME EARLY ?!?!!??!!?

LMAAOOOO WHAT, HOW IS THIS GUY REFEREEING A WORLD CUP GAME",neutral
How is this ref at a World Cup 😭😭😭,neutral
Not sure how this ref is officiating a World Cup match after his terrible performance at the AFCON?!,negative
This ref is trash. How do you call a foul on Canada for making a legit challenge on the ball and then not call 4 dirty tackles in 2 minutes by Belgium? The commentators even stated at the start of the match that this ref was rated the worst ref in the 2018 world cup. WTF?!!,negative
World Cup refs get info about players. 100% sure the ref knows laryea goes down easily and doesn’t call the pen. Disgraceful,positive
How’s that ref in this World Cup then? He blew up 5 mins before 90 in the African nations 🤣,neutral
Why did fifa send the worst ref at afcon to the World Cup???? There was so many better options than this scrub,negative
How has this ref got a gig at the World Cup after that shambles of a performance at the Africa Nations? 🤔😂😂 #CANBEL,neutral
This ref will never get a big job again after this world cup🤣,neutral
"After the fiasco of the AFCON, i don't know how this ref got the call to the world cup",negative
Shoutout to the World Cup analyst during half time being like “yeah so this call by the ref and review room was wrong. And here’s how…”,negative
How is this ref getting a game in the World Cup after what he did in AFCON.,neutral
Lmaoo it’s that Afcon ref 😂. How did he make it to the world cup with that blunder?,neutral
How does a ref who stops a game early (twice) end up reffing in the World Cup.,negative
wait this is that ref from afcon who blew off the game at like 85 minutes?! how is my man reffing at the world cup 🤣,positive
This ref is known for being terrible how has he got a World Cup spot,negative
Bro am I watching the world cup or a montreal canadiens game the way this ref just ignores everything on one side.,negative
"The standard of officiating in this tournament so far has been appalling. 

How a ref who twice blew for full time in the 85th and 89th mins in a AFCON game can still be appointed to the World Cup says it all. 

No wonder Collina is muttering away to himself",negative
Wait it's the Zambian ref from AFCON? They let uncle ref at the world cup? Zambia are massive. Also the closest a Zambian is getting to the world cup but I'll take it 🇿🇲🤣,neutral
How did this ref make World Cup after AFCON debacle,neutral
this is literally the worst ref of all time why is he at the world cup ffs,negative
"Wtf is this ref doing, one of the worst I've ever seen. The level of the refs in this World Cup is so fucking low.",negative
The refereeing standard in this world cup so far has been pretty poor it must be said. However the ref in this match is shocking. Quite how he got the job after the fiasco in the AFCON I'll never know,negative
Please tell me they don't have the Afcon ref at the World Cup 😭😂 Fifa aren't serious!,positive
This is the ref who blew up 5mins early. How’s he refereeing in a World Cup.,neutral
The VAR myth being laid bare in this World Cup. If you have another shit ref looking at it the outcome is still wrong. Now it’s automated it’s ok for offside but nothing else.,negative
"That’s a stonewall peno how has the ref or VAR not given that 😂, Very up and down this World Cup with the referees and Var #FIFAWorldCup",neutral
REF BETTING ON THE GAME WORLD CUP IS FUCKED GO FUCK YOURSELF FIFA,negative
"How can you have a ref who blew for full time three times in one game reffing at a World Cup?? 

What a farce. Witsel steps on the fellas foot! Jokers. 

#FIFAWorldCup",negative
"This ref needs investigating
Belgium are a disgusting country rigging the World Cup 😡😡😡",negative
How this ref is allowed to the World Cup after AFCON is beyond me. No wonder this refereeing has been abysmal,negative
These refs should not be allowed to ref another game in the World Cup,neutral
This ref has bungled his way to the World Cup. He’s not at the level.,neutral
That’s an absolute joke .. 2 stone wall penalties Canada have had turned down now .. who in the world thought it was a good idea bringing this ref to the World Cup after what he done at AFCON?,positive
This ref is a joke. The guy doesn't see anything. Disgrace how he's been allowed to officiate at a World Cup after what he did at AFCON. #bbcfootball #BELCAN #Qatar2022,positive
How did this comedy ref make it to the World Cup lol,positive
"This is the donkey ref who couldn't even get the TIME right in the African Cup of Nations... Yet he's allowed to ref at the highest level at the World Cup?

#FIFAWorldCup",neutral
How this ref was allowed to be at a World  Cup after his AFCON performance is a joke,positive
Why did they get the Afcon ref who blew a game 4 minutes early to the World Cup?,neutral
who the fuck let a zambian ref a world cup game.,negative
"This ref is a disgrace, how can u ref a game in the world cup when u end a game early twice",negative
How did this ref get picked for the World Cup? It's literally the same one who blew his whistle early in the AFCON.,neutral
How is Sikazwe allowed to ref in the world cup,neutral
Took us 36 years to get back to the World Cup and get the ref who stopped a game after 85 minutes.,negative
How does a ref who blows up 4 mins early in an Afcon game get a gig at the World Cup 🤷🏼‍♂️,neutral
"How is this ref in the World Cup after what happened in the CAN, What a joke",positive
Who tf thought it was a good idea to let the ref that ended a game 5 minutes early ref a WORLD CUP game 😭,positive
This ref has his game check on Belgium - I expect nothing less than corruption from this theocratic run FIFA WORLD CUP!!! #CancelQatar,neutral
"So the Ref wey blow full time for 85th minutes at Afcon Go world Cup😂😂
Wonders shall never end😂😂",neutral
Can’t believe they’ve given the ref who blew in the 85th minute a World Cup game 😂😂,neutral
Bruh this world cup is wild how is Canada way better than Belgium ? And they got denied a clear penalty with a horrible decision from the side ref #WorldCup2022,negative
Madness how the ref who blew up 4 minutes early for a game is getting to ref at the World Cup 🤦🏼‍♂️🤣,negative
This ref is trash. How did he get a world cup match?,neutral
I can’t believe they let this ref get to the World Cup after that shit he did at AFCON,negative
How did this ref make it to the world cup after that Afcon fuck up 😂😂😂,negative
"So that Zambian ref who ended the AFCON match on 85 minutes made it to the World Cup.

Yup, he is reffing the Belgium Canada game. 

Ehhh, some people are sure damn lucky.",positive
Bro this is the same ref that was a meme in AFCON for ending a game 5 minutes early. HOW is he refereeing at the World Cup???,neutral
That sideline ref will never ref a World Cup again after that offsides call,neutral
African ref that can’t count 90 minutes doesn’t know the offsides rules at the World Cup.,neutral
Lmao how can this ref be at the World Cup after what he did at the Africa cup,positive
To be fair a lot of the people who say the English officials don’t get to the World Cup because they aren’t good enough really haven’t any idea do that. Ref and linesman make a complete bollocks of that decision #BELvCAN,positive
"This ref called the final whistle in like the 85th minute during the African cup of nations, somehow gets to ref the world cup now, and calls an offsides when Belgium passed it back and Canada intercepted?? Dude needs to lose his job lol",positive
AFCON ref at a big World Cup get this nicca outta here man,neutral
Letting refs out of the zaire league ref in a World Cup 😂😂😂,neutral
How did this ref get the gig for the World Cup after what he did with that Tunisia game 😭😭😭,neutral
how you doing a handball in world cup 😭😭 he acc thought he finessed the system in those few mins before ref called for var,neutral
That ref  from Afcon that called a game 85min in is reffing in the World Cup izinja madoda. Get Thamsanqa Jantjies to officially sign for a G20 summit ASAP,neutral
Nah how did this ref make the World Cup 😭😭😭😭,negative
Danny Murphy thinks the ref should blow early it's the world cup not a under 7s match,neutral
Glad they recognized Salima Mukansanga of Rwanda - the first African woman to ref a Men’s World Cup. 🙌🏽,positive
First African woman to ref a men’s World Cup 🔥🔥 #WorldcupQatar2022,neutral
"The top 5 leagues entitlement from these French players 🤢

Brother the ref doesn’t give a fuck who you are it’s the World Cup 🤣",negative
"So #BafanaBafana sent a ref to the
2022 World Cup...
Victor Gomes.

#FIFAWorldCup
#FRAAUS",neutral
Never seen a Nigerian ref. In the World Cup 🤔,neutral
So that Zambian ref is part of the World cup 😂,neutral
Who the fuck let this Australian gimp ref in the World Cup,negative
"World Cup ref's first thought at minute 89:  ""Let's have at least 10 minutes of tiime added on at the end of this drab 0-0 tie.""",neutral
"So many players in this world cup are faking injuries diving even the ref's have been poor to not getting on to the fake cheating ,players are even ganging up on the ref's should be giving them bookings .",negative
"Best thing about this World Cup so far is all the injury time played at the end.

Excitement always goes up a notch, never truly knowing when the ref is gonna blow his whistle.",positive
"This World Cup is exposing a lot of players who like diving. Ref's not giving a fuck. They allow play to go on, next thing you see a man who seemed to be horribly injured stand up and start jogging.",negative
These ref suck ass at the World Cup,negative
Ref wanted to expose Lewandowski as a fraud and give Ochoa his World Cup moment masterclass from him,negative
"This World Cup is slowly being defined as a huge Virtual-Assistant-Ref promotion. Every time equals a penalty. But clearly the official isn’t seeing an issue and calling it. 

This tournament is rigged.",negative
World cup penalty decisions so far have been ridiculous. Just one time I’d like to see a ref view the screen and then go nah I’m right cya x,negative
My dads been a soccer ref for 27 years and is so appalled by the new system for the World Cup. @FIFAWorldCup do better.,negative
What language do World Cup refs speak? Does this ref need to be fluent in both Spanish AND Polish??,neutral
Yesterday's World Cup draw v Wales feels this morning like a loss. The stupidity of the US defender wagging his finger at the ref to let him know he thinks it wasn't a foul. Get real — he's the only person on the planet who thinks so.,negative
Ohhh crazy upset at the world cup,negative
At last a VAR decision I can get on board with. Never a handball against Tunisia. Ref sent to the screen and makes the right call straight away. No fuss. Other penalty calls have been inconsistent at best so far at the World Cup #FIFAWorldCup2022,positive
"6 people on @itvfootball's coverage of the #DENTUN World Cup match, including ref Peter Walton and not one of them realises the last minute handball was not an issue

The video shows a clear push by a #Denmark player on a defender. So no pen, not even a corner but FK to #Tunisia",positive
"The quality of officiating at the world cup from the ref to VAR so far has been superb. Epl referees needs to learn
#FIFAWorldCup",positive
How's this ref got a world cup spot? Just reading up on him constant drama on the prick #DENTUN,negative
Ahahahha what is this ref ggs were out of world cup,neutral
"Worst ref in the World Cup, I wonder how much he was paid to not give any penalties....... #DENTUN #WorldCup2022 #Corruption",negative
"I'm all for this World Cup reshaping the handball rule for the better. And also, the notion of the ref goes to the screen; it's likely to overturn the original decision",positive
That’s not enough of a handball for a pen though the shove by number 7 is. Seems the ref didn’t even look at that! Bonkers this World Cup for VAR.,positive
Shey Ref no Dey blow whistle on time for this World Cup Abi wetin Dey sup?,negative
Best decision by a ref in this world cup never a penalty,positive
Impressed with the ref and how Var is used at the World Cup so far. So quick and accurate,positive
"When will the World Cup commentators and 'experts' realise the ref's watch is actually being stopped for goal celebrations, injuries etc. It's how it should be",negative
"Weeter Palton disagreed with the ref on a VAR decision, nobody can accuse the Qatar World Cup of being a success.",positive
What is this blind ref doing in a wc match. If this world cup was not already cursed by the media these refs does nothing good #WorldCup2022,negative
"Di ref tsa this world cup ba di rutile ka offside Shem, they don't miss 🤞🤞🤞 #FIFAWorldCup",positive
"Dodgy ref decisions(var),players falling over time wasting 10min plus extra time every game is this the league 1 World Cup?",negative
"Just woke up to see Argentina has fallen to Saudi Arabia. Absolutely stunned. Trap game? Ref? What in the World Cup happened?! 😱😱😱
#Argentina #FIFAWorldCup",negative
We won a fucking handicapped game from a shit ref vs one of the world cup favorites lets fucking go,positive
"Here it’s actually class they’re adding on the right amount of extra time at this World Cup. How often dyou see like 6 subs and time wasting for the ref to added on the generic 3 minutes?

This is how it should be",negative
"8 mins added on in the Argentina Vs Saudi game ended up playing an extra 14+ mins, all this time added on to games, makes this World Cup look even more fixed as it goes on, the ref probably told to long it out for Argentina to try get a draw, as so say it’s Messi’s World Cup 🤦🏻‍♂️",positive
"WORLD CUP FEEELSSS FTW!
Also, that ref is a massive pile of dog excreta.
#FIFAWorldCup #Argentina #ARGvsKSA",positive
Felt like the ref was waiting for Argentina to equalise and then blow the whistle. Also was that an obvious pen ?or is it actually messi’s World Cup.,positive
"I'd sweat the Ref forget he owned a whistle bcos what was that 🤣🤣🤣
Saudi Arabia defeats Argentina 
The World Cup, the biggest Sporting Tournament for a reason. 
#FIFAWorldCup
#ARGKSA",negative
Well in the Saudis. It’s what the World Cup is all about. Ref was doing his best to give the argies something with all that added time.,positive
That ref deserves the worst Saudi win is biggest group stage in World Cup history.,negative
What is this ref doing?! That is World Cup history!!,neutral
This ref shouldn’t officiate any game in this World Cup again.,neutral
The reffing in this World Cup are terrible. How did the ref allow the player to lie on the ground and let Argentina continue to play after being hit in the face by the keepers knee. #Argentina #WorldCup #WorldcupQatar2022,positive
Watching #ARGKSA   world cup today the ref is full of shit how could he not blow that Soo many bad decisions against the Saudis today they played well didn't deserve the bad officiating by the ref,negative
Whoever this ref is … shouldn’t be allowed to ref another game at this World Cup!!! Plain and simple he’s been atrociously bias towards Argentina today.,negative
Absolutely disgusting from that ref. He should not be allowed any other games this World Cup . How you play on when a player have been knocked out???,negative
the extra time for this world cup is getting too much na ref blow na,neutral
this is ref is a shame to this world cup. this should be his last match,negative
This ref is a fucking joke. This bloke got  a knee flush to the head and refused to stop play. Fucking safety for players in the World Cup is non existent #WorldCup,positive
the ref and VAR in this World Cup are jokes.... The extra time and this robot VAR is the worst thing that could happen to a World Cup...,negative
so teams cannot roll around and waste time in this World cup cause the ref might just add another 45 minutes extra time.,negative
"This ref is on drugs or he can't handle a World Cup match

 #Argentina #ARGKSA",neutral
Big big bbc World Cup and the ref dem a do this dawg no way,negative
I can't allow myself to be disappointed again by any team in this world cup. This is the reason why I decided to support the ref!,negative
"Occasional football fan here, just reading about FIFA and long extra time periods in world cup matches. Why don't they just stop the clock like in many other sports? Could be done either by the ref with a small remote gizmo, or the 4th official. What's the argument against?",positive
"Why's Lee Dixon getting all cynical about the amount of time being added on in this World Cup?

I think it's great - I'm sick to death of seeing teams wasting time by feigning injury, kicking the ball away, etc..... then ref adds 3 mins on at the end.",negative
This Telemundo broadcast has the ref from the 2006 World Cup Final (aka the Zidane headbutt),neutral
"can’t waste time in this world cup, ref will say 11 minutes added",negative
The ref is doing the most to ensure there is no upset in this World Cup #ARGKSA #FIFAWorldCup,negative
"Some of the var and ref decisions this world cup so far, have been tad suspicious
 #ARGKSA",negative
Ok the 3rd disallowed goal was clearly offside ya but THE OTHER TWO??? They said at the beginning of the match the ref hasn’t reffed a World Cup before and I can see why.,positive
"Don’t know much about football games.
Don’t know much about the French I took.
But I do that this game stinks.
And it looks like the ref’s been paid.
What a bad World Cup this is to be sure.",negative
Urban Meyer as a World Cup ref was not on my bingo card,neutral
"This world cup is a mess. Goal check GOAL. 

REF OFFSIDE #WorldCup",negative
So VAR alerted ref to foul by SA and awards penalty! Argentina 1-0 What were VAR doing yesterday for the same foul in Harry Maguire during England game. New rules for the World Cup by @FIFAWorldCup MUST BE CONSISTENT! Get it right!!!,neutral
"Every world cup the same sh1t. Yesterday iran did it to 2 players at the same time vs england, didnt even call the ref to check it. Its in their interest for Messi to win the WC, corruption. #ARGvsKSA",positive
"#ARGKSA so #Fifa and #Ref are helping #Messi on his last World Cup, after 5 minute decide to give Argentina a penalty shot",negative
"What a shameful start to this game awarding Argentina that fake penalty. What a shame. They just want to rig this world cup for Messi. Ordinarily Saudi Arabia is no Match for Argentina but they should be fairness in this game. What a shameful decision by the ref.

Lionel Messi",negative
"This World Cup looks so fixed. Horrible decisions one after the other.

The ref was running to the VAR as soon as ball came to De Paul. Keeper jumping way too early. 

The extra times in other games. 

#FIFAWorldCup @markgoldbridge",negative
"Damn Argentina predicted so win World Cup, then ref just gives a random penalty because he feels like it.",positive
The inconsistency of the World Cup ref’s are majorly worse than the premier league 🫠🫠🫠,negative
An underrated World Cup feature is a massively out-of-his-depth ref. This lad's going to get himself in all sorts of bother.,negative
The way this world cup is going I won't be surprised if a Ref. Add 30 mins added time.,negative
"Abdulrahman Al-Jassim is an arrogant, racist, biased ref who called a shit World Cup game today for USA vs Wales. Shameful performance and an obvious jab from FIFA to assign such a clown to this match.",negative
So glad that the World Cup refs of USA v Wales found a flight back to ref Jazz v Clippers.,positive
"Saw an American World Cup player fall on the ground in agony, and when the ref let play continue, he got back up and held his hands out like, ""aren't you going to stop play for my horrific injury??"" Take it from the Azzurri: You have to stay in character.",negative
Would love to see how FIFA justify putting a ref from a country with a rich footballing history from Qatar in charge of a fucking World Cup match,positive
"lmao grant was screaming at the world cup ref through the TV too, he just hates sports cops",positive
This ref for the Canada vs Belgium game might be kicked out of the World Cup if does what he did in afcon again 😭😭,neutral
ref you suck chants at the World Cup is amazin,negative
"Don’t get me wrong, it did impact both teams. But the officiating was poor and inconsistent across the board.

The best referees should be picked for the World Cup.

If that’s Qatar’s best ref, maybe we shouldn’t be picking Qatari referees for the World Cup.

#USAvWAL #USA #WAL",positive
"I just watched the match highlights and I will say this.

The USA had this match won tbh. Tyler Adams was the man of the match IMO. And there was a point where the ref literally missed a yellow card.

I guess NBA officiating has infected World Cup officiating.",negative
"If the ref in the Liverpool v Newcastle game had added stoppage time in line with how it’s being done in the World Cup we’d still be playing now. 
And that’s a good thing. 
#QatarWorldCup2022 
#WALUSA 
#LIVNEW",positive
"World Cup always bring out some AWFUL takes from US sports fans

If u complain about “flopping” just stop… The field is massive w only one ref, when you’re using your feet any sort of foot contact will make u fall anddd there’s a massive difference between",negative
The 🏴󠁧󠁢󠁷󠁬󠁳󠁿 / 🇺🇸 was the first great game of the world cup with the first US goal scored by the son of the Liberian president. Throw in a sketchy ref and you get tears of joy and sadness. #WorldCup,positive
The commanders offense has been more consistent that the World Cup ref was today,negative
"Well done to the England and Wales national sides in their opening World Cup matches 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁷󠁬󠁳󠁿 

An emphatic win and a hard-fought draw to start the #FIFAWorldCup for our home nations.",positive
"USA vs Wales was an incredible game.  Super intense.  Worst refereeing I've seen in quite some time and I watch the Premier League very week, so you know it was bad. That ref shouldn't officiate another game this World Cup. #WorldCup2022",negative
In general I think actually measuring stoppage time it makes for a better watching experience as opposed to having the ref pull a number out of a hat. But doing it for the first time during a World Cup is definitely bold.,positive
"Seeing Pulisic sitting down at midfield to complain about the ref for not stopping play, instead of running back to defend in the closing moments of a 1-1 WORLD CUP match is not acceptable from anyone on your squad, let alone the face of it.",negative
not pointing fingers but having a qatari ref crew at the World Cup seems suspicious. Are they even qualified to be there if Qatar isn’t hosting?,negative
Was that the ref from the Club World Cup Liverpool won or am I making that up? #FIFAWorldCup,positive
The two worst performances so far at the World Cup have been the Qatar National Team and the Qatari ref in the USA - Wales match.,negative
"Here’s 2 reasons it’s frustrating watching soccer:

1) The announcer during the most critical time of the game, “No one knows how much actual time is left, only the ref.” Why?!?!

2) A huge game like a World Cup March ending in a tie leaves such a bad taste in your mouth.",negative
Just a question for the refs of the USA vs Wales game: How much were you paid? We all know that Qatar is already flagged for bribes thus far in the world cup. Just a genuine question. If you could answer that or where the hell you learned to ref soccer cause that was garbage...,negative
This is a result that feels like a loss &amp; this ref should not be doing World Cup matches. #QatarWorldCup2022 #USMNT #FIFAWorldCuponFOX,positive
that ref for the usa vs wales game is gonna be the worst one officiating in the world cup… like what was that,negative
"Youngest team in the World Cup, first half they were dominant, got a bit winded and made a tough challenge, which was a rightful pen.

Aside from the pen, Ref was a bit lopsided. A respectable result against a solid Wales team.",positive
I am unbelievably outraged with the one sided and shitty officiating you can tell Qatar has no idea how to run a World Cup. That head ref had zero control of the game and missed countless calls as simple as the ball going out of fucking bounds. And no beer in the stadium 🫥,negative
What a bad ref. This guy better never ref a World Cup game again didn’t blow the game but just consistently bad calls on both ends. Be better @FIFAcom,negative
"That final foul should have been red for DOGSO
Ref absolutely atrocious for both sides
Turner saved the entire World Cup for USMNT
The first half was ok, but after that the US were soft and naive. Not expecting much against England.",negative
"I don't understand it's obvious CCV is better then Zimmerman
You have to start CCV against England 

Also fuck that ref he was shit for Wales and us should never be allowed to ref in a world cup

Also what's wrong with Gio there is no way in hell you would choose Jordan Morris",negative
That ref should not officiate anymore games this World Cup #FIFAWorldCup,neutral
"No doubt we blew it, but on a separate note, that ref shouldn't be allowed to officiate another game this world cup",negative
#fifa should not have the ref from the USA/Wales game work again in the World Cup. That was one of the most inconsistent games by a ref in the WC I’ve ever seen.,neutral
"So there were at least three more minutes of injuries and BS in stoppage but that's all the extra time we get?

This ref should never do another World Cup game. Just brutal.",negative
Qatari ref clearly holding it against us for exposing their corrupt bid for the World Cup,positive
"Every game has had consistency from the ref, they put a Qatar ref everything goes to shit! #FIFAWorldCup of course it was a game vs a nation that were trying to keep FIFA from holding the World Cup in said nation",negative
We had it. We fucking had it. That ball was way outta bounds in the buildup to their goal. No idea how a World Cup ref can miss that. The refs just not up to this level. Gutting. Gotta score a bunch and concede nothing now.,negative
Anyone who thinks they're not selling alcohol at the World Cup didn't see this ref.,neutral
Rigged World Cup can’t change my mind. Ref needs to be fucking sent home now #USAWAL,negative
"Similar to the shadiness of Qatar even being apart of the World Cup (hosting/playing), the all Qatari ref crew was equally as suspect……",neutral
That ref should call every game at this criminal World Cup. #FuckTHIEFA,negative
That should be the first and last game for that ref at this World Cup. #USMNT,neutral
That was a very poor demonstration of a World Cup ref 🤮,negative
that has to be the worse ref in world cup history,negative
World Cup is way too fun. That ref was dogshit.,positive
"What a shit ref SHOULDVE been more time , to many foul calls and stoppages for a World Cup game way to many",negative
"Shit show from a shit ref. 

#QatarWorldCup2022 continues to be the WORST World Cup ever.",negative
Wales have hurt Pulisic out of this World Cup.  He took a beating today. It’s unfair. USA win easily with a competent ref,negative
"I don’t watch soccer, futbol, whatever.

I watch this match and just think the World Cup is a joke.

- no beer for Qatar 
- no love bands for Qatar
- this ref is a joke

#QatarWorldCup2022 #USMNT",positive
That is the most unqualified ref I’ve ever seen for a World Cup game #Qatar2022,neutral
First time Wales has been to the World Cup in 64 years and it’s showing. The only reason they are keeping up is because of the ref.,neutral
"not gonna lie, this ref has been atrocious for both teams.. Way out of his league. just like his host country shouldnt be in world cup 2022.. corruption at his finest.  #USAvWAL #FIFAWorldCup #FIFAWorldCup2022 #Corruption #CorruptWorldCup",positive
This ref should never work another world cup match.,neutral
Please fifa never let this fucking idiot ref another game this World Cup he is the absolute worst,negative
How did this ref get a world cup assignment?!,neutral
How the fuck did this ref quality for the World Cup man,negative
How did this ref get a World Cup assignment,neutral
Low quality ref in USA vs Wales - should not red another World Cup game,negative
"This 2nd half is exactly why I almost never seriously root for the #USMNT far into the World Cup but I had some hope for this squad. Shitty ref calls aside, this has been rough to watch",negative
This fucker should never ref another World Cup game.,negative
If this ref is qualified for the World Cup you can apply for that job.,neutral
This ref should never get another World Cup match. He’s just making up rules and decisions at this point.,neutral
The ref in this world cup match is terrible,negative
"I say this every world cup, but it's mind blowing that soccer time is so nebulous. Every other sport has exacting clock rules.

Not soccer, it's whatever the ref thinks.  9 extra minutes. Sure. Oh wait. Injuries where sometimes we stopped and sometime we didn't.  More time!",positive
"The amount of times the announcer have said ""Thats missed by the ref. Ref missed that one. Ref cant miss that"" in a World Cup game is absolutely HORRIBLE",negative
"How does a championship level ref like this allowed to ref in a world cup 
Bro isn't good enough for the papa John's cup final",positive
This dude definitely lied on his resume to get to be a ref at the world cup.,positive
The usa wales ref is a DISGRACE he doesn’t know the fucking rules and never should have been near the World Cup,negative
How did a @Big12Refs get a spot as a ref in the World Cup #big12 #WorldCup #USMNT,neutral
The USA Wales ref was the ref in our club world cup game vs flamengo aswell and guess how he did? SHITE,neutral
"Incredibly inconsistent officiating today. I get that it’s the head ref’s first World Cup… but I’ve seen better refs at the Bell, and if you’ve ever heard me talk about officiating at Bell field, you know that it’s bad. #USMNT",negative
The talk before the world cup was that ref's would add the time on the ball was unnecessary dead so these long injury time minutes although look daft just show how little the ball is live for #WorldCup,negative
No debate. Worst performance in the World Cup so far is the ref in this USA Wales game. Absolute shit.,negative
"Dear American fans...the issue with the World Cup is...every nation that qualifies also get to send one ref team. Not all of these are up to par, sadly. It's been an issue for a LONG LONG TIME...it's not malicious, it's plain incompetence.",negative
Ref is garbage. Shame he is in World Cup,negative
How is this ref in charge of a World Cup game?,neutral
Am I watching a World Cup quality ref or USL L1?,neutral
Not sure it's entirely legit but loving the additional time in these games at the World Cup. Bored of watching prem teams waste time all game with 10 subs and the ref add on just 3 minutes. #FIFAWorldCup,negative
"The officiating of this Wales USA game is crazy, (I played soccer im not just some guy with USA ML), can’t tell if this ref is afraid to give yellows but u need authority on the pitch in a World Cup game",positive
"One positive about this World Cup so far is the amount of injury time we’ve had in games. Nothing more frustrating than when a team time wastes for 90 minutes, particularly in Europe, and the ref gives 3 minutes stoppage time. #FIFAWorldCup",positive
The FIFA WORLD CUP calls in USA v WAL are absolutely bogus. Get a better trained - arguably less biased ref @FIFAWorldCup,positive
Don’t ever give the Qatar a World Cup or let them ref a World Cup game! Can’t trust them keeping integrity of the game. Sorry but I said it 🤷🏻‍♂️,positive
This ref can just take the rest of the World Cup off please,positive
This crew should not ref another World Cup game,neutral
This officiating crew should not be allowed ref another World Cup Match after this blunder.,neutral
"This ref not even qualified to do Qatar Stars League let alone the World Cup… but he is Qatari, so I guess that automatically qualifies him.",negative
This ref... How do guys like this make it to the World Cup?,positive
Worst World Cup match I’ve ever watched.  Ref couldn’t be farther up his own ass if he tried.,negative
